File Name,Layer,Start Depth,End Depth,Depth,Measured Vs,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean),Ic_calculated (Geometric Mean)
SCPT_229870.csv,12,8.0,10.53,9.265,105.0,2.539999999999999,0.5695330696609417,0.011692557810474817,0.25249874676445205,113.94971496417931,138.7213921303053,190.47610087228625,117.14170693226085,128.44926544501854,104.38830259095631,262.3280228104446,3.100343226628876,3.063830593655863
SCPT_229870.csv,13,10.54,11.59,11.065,134.0,1.0600000000000005,0.8508518933704737,0.01676653839125885,0.3808482185125931,130.91099916908473,159.36991203192915,226.17082142091573,130.1054925359361,142.1083432497914,119.81684995319871,288.5997739474635,2.9583713686716577,2.928980979506187
SCPT_229870.csv,14,11.6,12.4,12.0,135.0,0.8100000000000005,1.4555046326716896,0.01991895572761225,0.04708958805458422,146.27117845916942,178.06926073290194,270.2947006890372,142.08689042192722,148.69876619416357,134.3137166364892,302.4702752577534,2.7245152783361433,2.6893987534453894
SCPT_229870.csv,15,12.41,13.67,13.04,118.0,1.2699999999999996,2.3449839064026285,0.01406124759097476,0.26871346308700017,157.2053867161356,191.3804707848608,329.07248936838187,145.0029319455005,124.5487721301695,143.02217112839017,296.2536217769477,2.3543800126162466,2.3263067025651627
SCPT_229870.csv,16,13.68,14.3,13.99,134.0,0.6300000000000008,1.6265911704225637,0.010065206904833528,0.4340427727194053,148.53730600140432,180.828024697362,291.6913552801313,132.68968583454475,112.7645028125234,134.58706517833957,287.98692201717205,2.5323023488979004,2.507116555782014
SCPT_229870.csv,17,14.31,15.0,14.655000000000001,132.0,0.6999999999999993,1.047081700363332,0.009228638896990495,0.450556301524907,140.68781604385677,171.2721238794777,252.6056185175712,123.06142202805245,110.84751087838515,127.03811234740212,287.183493851473,2.8055882852478455,2.785991205614711
SCPT_229870.csv,18,15.01,16.35,15.68,102.0,1.3500000000000014,1.0710601507759394,0.02206889161545859,0.5018080690944517,152.5007426469691,185.65307800500608,256.38603860766733,138.47544358895186,153.45027901636078,139.6090904930737,327.2355249430829,3.0089109255011732,2.9927760511608983
SCPT_229870.csv,19,16.36,16.85,16.605,133.0,0.5000000000000018,10.504170177521233,0.13929798829799747,0.08015719386167072,253.24734874071882,308.3011202060934,591.5689346408033,251.82744594595655,303.746199711913,229.64827411930563,429.08857306185286,2.030700759102336,2.0126212873976037
SCPT_229870.csv,20,16.86,19.75,18.305,115.0,2.9000000000000004,1.176022236367882,0.023523081573736962,0.07189713150356145,160.20437789566694,195.03141656863806,260.3748462140275,138.30256912441553,155.1634933085584,148.47713063977668,343.31288012073765,3.10948389304805,3.0849549922156325
SCPT_229870.csv,21,19.76,20.25,20.005000000000003,113.0,0.4999999999999982,1.9736156935050053,0.017198332485313658,0.4060114513606677,176.7875995830581,215.21968644894056,326.4863578578839,145.55358300970408,135.40953414876046,159.80647768950283,338.4878766556389,2.6745667541782843,2.6591139604872565
SCPT_229870.csv,22,20.26,21.1,20.68,112.0,0.8499999999999996,1.624211197844512,0.03491604515102428,0.5332479812897043,181.28429716443603,220.69392698279196,305.63723458265184,154.66291566398908,175.2207617884531,166.31674310329686,373.71309575384254,2.9605099912136454,2.9487658930782716
SCPT_229870.csv,23,21.11,21.6,21.355,138.0,0.5000000000000018,28.486022136341283,0.3817595505092863,0.1157214987765003,340.7664407375471,414.84610176744917,885.9664361374319,348.7475180650925,473.7525902651743,309.1515947537385,525.1913964358762,1.7681616264450652,1.7565349015257536
SCPT_229870.csv,24,21.61,22.12,21.865000000000002,155.0,0.5200000000000014,2.0754206022589634,0.02871939374808258,0.4037008189082706,192.02418095717104,233.76856812177374,336.05548540713545,158.91419641539488,169.73147728400716,172.16987477782286,370.18869834868235,2.828013751984022,2.815439616543839
SCPT_229870.csv,25,22.13,25.17,23.65,173.0,3.0500000000000025,1.637994205771422,0.03279625336000312,0.7326219521783948,188.9037284693235,229.96975639743738,312.934199360839,152.7914387071963,167.99496095487993,171.92281036006787,383.4474547287798,3.0059270629164545,2.9999020892587316
SCPT_229870.csv,26,25.18,26.72,25.95,194.0,1.549999999999999,2.046106923387743,0.02901371520967068,1.1267560249643132,200.37185731654156,243.9309567331807,346.87414536668587,155.34833411086956,156.14675588542664,180.3432177937614,387.04322971336813,2.8469527704401867,2.8448741645439175
SCPT_229870.csv,27,26.73,29.25,27.990000000000002,168.0,2.5299999999999994,1.4493395705966823,0.026243322579279107,0.9208719712141985,193.08275427262265,235.05726607101874,308.5116254840933,144.7270221696427,153.05964187402137,173.7923143538655,388.3999514782472,3.1165050232838576,3.1209004674580227
